file,sparse_code_time,wav_time,diff
27_10,57599990,57600125.0,135.0
16_17,57599990,57600125.0,135.0
36_15,43128180,43128312.5,132.5
44_06,57599990,57600125.0,135.0
22_16,43989990,43990125.0,135.0
31_08,57599990,57600125.0,135.0
41_16,57599990,57600125.0,135.0
27_06,57599990,57600125.0,135.0
19_09,42514800,42514937.5,137.5
22_11,48045740,48045875.0,135.0
02_07,57599990,57600125.0,135.0
13_14,43796300,43796437.5,137.5
14_09,57599990,57600125.0,135.0
32_08,57599990,57600125.0,135.0
12_10,57599990,57600125.0,135.0
35_15,37675360,37675500.0,140.0
21_16,41449550,41449687.5,137.5
42_16,57599990,57600125.0,135.0
38_15,55758110,55758250.0,140.0
18_17,37599550,37599687.5,137.5
29_06,50684930,50685062.5,132.5
03_14,57599990,57600125.0,135.0
04_09,38565360,38565500.0,140.0
12_07,57599990,57600125.0,135.0
30_11,57599990,57600125.0,135.0
25_13,46201550,46201687.5,137.5
09_09,31083799,31083937.5,138.5
17_12,57599990,57600125.0,135.0
39_15,37315610,37315750.0,140.0
16_11,57599990,57600125.0,135.0
30_10,57599990,57600125.0,135.0
39_06,40401490,40401625.0,135.0
08_17,57599990,57600125.0,135.0
30_12,57599990,57600125.0,135.0
28_15,34082430,34082562.5,132.5
34_06,57599990,57600125.0,135.0
46_15,39114490,39114625.0,135.0
41_08,57599990,57600125.0,135.0
22_08,50660180,50660312.5,132.5
19_10,52186300,52186437.5,137.5
29_16,44095990,44096000.0,10.0
38_17,50398300,50398437.5,137.5
18_15,41530180,41530312.5,132.5
34_12,26857990,26858125.0,135.0
09_06,57600140,57600125.0,15.0
35_17,43586680,43586812.5,132.5
15_15,57599990,57600125.0,135.0
01_16,57599990,57600125.0,135.0
12_08,57599990,57600125.0,135.0
04_06,42691570,42691562.5,7.5
22_07,51739680,51739812.5,132.5
04_14,44969740,44969875.0,135.0
34_09,57599990,57600125.0,135.0
33_14,50536300,50536437.5,137.5
41_07,57599990,57600125.0,135.0
34_17,30687990,30688125.0,135.0
02_11,57599990,57600125.0,135.0
16_12,57599990,57600125.0,135.0
39_09,43439034,43439687.5,653.5
14_06,57599990,57600125.0,135.0
25_10,46080740,46080875.0,135.0
46_17,40864240,40864375.0,135.0
03_13,57599990,57600125.0,135.0
11_16,50710800,50710937.5,137.5
25_17,37959800,37959937.5,137.5
02_08,57599990,57600125.0,135.0
19_06,42887180,42887312.5,132.5
26_12,57599990,57600125.0,135.0
08_15,57599990,57600125.0,135.0
28_17,57599990,57600125.0,135.0
20_13,57599990,57600125.0,135.0
12_11,57599990,57600125.0,135.0
29_09,43514930,43515062.5,132.5
37_13,57599990,57600125.0,135.0
33_11,48073800,48073937.5,137.5
32_07,57599990,57600125.0,135.0
38_12,47070990,47071125.0,135.0
38_13,46945930,46946062.5,132.5
13_07,43241050,43241187.5,137.5
32_16,57599990,57600125.0,135.0
33_10,46389800,46389937.5,137.5
25_14,40839050,40839187.5,137.5
26_10,57599990,57600125.0,135.0
44_12,41403800,41403937.5,137.5
08_09,57599990,57600125.0,135.0
01_10,57599990,57600125.0,135.0
45_15,41708610,41708750.0,140.0
01_13,57599990,57600125.0,135.0
09_17,39900000,39915125.0,15125.0
29_15,41636300,41636437.5,137.5
27_15,57599990,57600125.0,135.0
38_06,47362050,47362187.5,137.5
30_16,57599990,57600125.0,135.0
23_08,57599860,57600125.0,265.0
40_08,57519901,57600125.0,80224.0
35_06,42426300,42426437.5,137.5
37_12,57599990,57600125.0,135.0
11_13,50807360,50807500.0,140.0
34_16,29699990,29700125.0,135.0
18_09,43821990,43822125.0,135.0
18_13,46393360,46393500.0,140.0
45_10,57688040,57600125.0,87915.0
45_14,45346240,45346375.0,135.0
28_10,47159110,47159250.0,140.0
15_09,57599990,57600125.0,135.0
12_14,57599990,57600125.0,135.0
23_12,57599990,57600125.0,135.0
03_07,57599990,57600125.0,135.0
11_15,42429360,42429500.0,140.0
25_06,45968180,45968312.5,132.5
20_16,57599990,57600125.0,135.0
46_06,40291490,40291625.0,135.0
43_11,47892800,47892937.5,137.5
14_17,57599990,57600125.0,135.0
33_08,46472930,46473062.5,132.5
28_06,43519680,43519812.5,132.5
40_15,57599990,57600125.0,135.0
19_17,39957610,39957750.0,140.0
03_08,57599990,57600125.0,135.0
10_16,57599990,57600125.0,135.0
38_10,57599990,57600125.0,135.0
15_06,57600140,57600125.0,15.0
31_12,57599990,57600125.0,135.0
33_15,37160800,37160937.5,137.5
03_12,57599990,57600125.0,135.0
29_17,38613050,38613187.5,137.5
18_06,51597890,51597875.0,15.0
46_14,38562610,38562750.0,140.0
28_09,50720610,50720750.0,140.0
09_13,57599990,57600125.0,135.0
46_09,40520800,40520937.5,137.5
41_14,57599990,57600125.0,135.0
33_07,48075050,48075187.5,137.5
15_14,57599990,57600125.0,135.0
25_09,42845240,42845375.0,135.0
08_06,57600140,57600125.0,15.0
39_17,35149800,35149937.5,137.5
19_15,40220110,40220250.0,140.0
13_08,43522490,43522625.0,135.0
40_07,57599990,57600125.0,135.0
32_14,57599990,57600125.0,135.0
35_09,40255180,40255312.5,132.5
23_07,57599990,57600125.0,135.0
22_10,50888680,50888812.5,132.5
38_09,41989680,48847875.0,6858195.0
11_11,44983740,44983875.0,135.0
06_06,40898490,40898625.0,135.0
03_16,57599990,57600125.0,135.0
17_15,57599990,57600125.0,135.0
37_17,57599990,57600125.0,135.0
10_08,57599990,57600125.0,135.0
32_11,57599990,57600125.0,135.0
32_13,57599990,57600125.0,135.0
14_12,57599990,57600125.0,135.0
40_14,49624300,49624437.5,137.5
46_10,39422550,39422687.5,137.5
36_09,41776930,41777062.5,132.5
19_12,46277610,46277750.0,140.0
43_07,54478240,54478375.0,135.0
20_07,57599990,57600125.0,135.0
25_12,37015430,37015562.5,132.5
07_11,57599990,57600125.0,135.0
21_15,45123800,45123937.5,137.5
02_10,57599990,57600125.0,135.0
27_17,57599990,57600125.0,135.0
13_16,28314860,28315000.0,140.0
44_17,33605860,33606000.0,140.0
16_06,57599990,57600125.0,135.0
42_14,57599990,57600125.0,135.0
30_07,57599990,57600125.0,135.0
45_09,50457740,50457875.0,135.0
30_14,57599990,57600125.0,135.0
26_09,57599990,57600125.0,135.0
43_10,50684490,50684625.0,135.0
04_15,46066300,46066437.5,137.5
10_13,57599990,57600125.0,135.0
22_14,41746300,41746437.5,137.5
11_14,44120430,44120562.5,132.5
03_17,57599990,57600125.0,135.0
16_09,57599990,57600125.0,135.0
07_15,39124550,39124687.5,137.5
35_10,43794610,43794750.0,140.0
20_11,57599990,57600125.0,135.0
11_17,41744740,41744875.0,135.0
26_14,57599990,57600125.0,135.0
30_17,57599990,57600125.0,135.0
12_13,44410930,44411062.5,132.5
26_06,57599990,57600125.0,135.0
42_13,57599990,57600125.0,135.0
02_14,57599990,57600125.0,135.0
30_08,57599990,57600125.0,135.0
08_10,57599990,57600125.0,135.0
17_17,57599990,57600125.0,135.0
45_06,45795990,45796125.0,135.0
37_15,57599990,57600125.0,135.0
23_16,57599990,57600125.0,135.0
37_16,57599990,57600125.0,135.0
10_07,46407610,46407750.0,140.0
01_14,57599990,57600125.0,135.0
34_10,57599990,57600125.0,135.0
06_09,50453860,50454000.0,140.0
20_08,57599990,57600125.0,135.0
45_11,57599990,57600125.0,135.0
33_16,34254680,34254812.5,132.5
07_17,44988930,44989062.5,132.5
44_15,33907430,33907562.5,132.5
36_06,40341610,40341750.0,140.0
43_08,45837800,45837937.5,137.5
18_12,44950240,44950375.0,135.0
02_13,57599990,57600125.0,135.0
43_15,42474860,42475000.0,140.0
14_13,57599990,57600125.0,135.0
31_10,57599990,57600125.0,135.0
28_16,39999680,39999812.5,132.5
23_14,57599990,57600125.0,135.0
