file,sparse_code_time
26_11,57599990
12_12,57599990
17_14,57599990
26_07,57599990
45_07,38100930
30_09,57599990
23_11,57599990
16_08,57599990
33_12,45692180
31_17,57599990
17_11,57599990
02_12,57599990
08_16,57599990
38_14,46643550
20_10,57599990
27_14,57599990
20_09,57599990
11_12,48271550
43_09,56998860
36_07,47045550
44_14,40144050
04_12,37875610
14_14,57599990
46_12,39271550
43_17,47250360
06_10,57599990
10_10,57599990
18_16,47516550
42_17,57599990
10_06,43144990
04_17,41833110
06_08,44650860
21_17,37170430
01_15,57599990
15_16,57599990
01_12,57599990
29_14,35808990
38_07,46490990
23_09,57599990
18_11,55278990
35_07,42428610
40_09,57599990
13_06,41510930
41_17,57599990
02_15,57599990
16_16,57599990
22_17,42826680
44_13,46806240
08_08,57599990
27_13,57599990
25_07,41390930
33_09,49173430
37_11,57599990
46_07,38550240
08_11,57599990
28_07,43913550
18_08,46906990
01_11,57599990
32_17,57599990
21_12,30454860
06_16,57599990
12_15,52062610
36_12,43533860
40_16,57599990
15_08,57599990
44_10,57599990
03_06,57599990
31_11,57599990
39_16,42807490
07_13,31616110
28_08,40686990
33_06,48023050
41_15,57599990
46_08,38245610
25_08,23416180
04_10,46409180
02_17,57599990
22_15,43060930
36_16,43724300
25_15,36535930
38_11,48470430
03_09,57599990
41_13,57599990
30_15,57599990
15_07,57599990
09_14,57599990
18_07,45730680
42_12,57599990
35_08,43294610
26_16,57599990
32_15,57599990
40_06,46178300
12_17,57599990
23_06,57599990
45_16,40858680
17_13,57599990
38_08,43651300
42_10,57599990
31_14,57599990
37_14,57599990
46_11,57599990
13_10,44742240
08_07,57599990
22_13,40741050
19_14,42710300
13_09,47354300
